Bundesland,Familien_gesamt_1000,Kinder_1_1000,Kinder_2_1000,Kinder_3plus_1000,Familienmitglieder_gesamt_1000,Familienmitglieder_je_Familie
Deutschland,8373,4097,3225,1051,30641,3.66
Westdeutschland ohne Berlin,6772,3240,2651,881,25056,3.70
Baden-Württemberg,1136,527,456,154,4259,3.75
Bayern,1355,651,550,155,4993,3.68
Bremen,69,34,24,11,254,3.71
Hamburg,196,98,75,23,707,3.61
Hessen,642,314,244,84,2360,3.68
Niedersachsen,788,371,309,108,2926,3.71
Nordrhein-Westfalen,1791,854,692,245,6644,3.71
Rheinland-Pfalz,411,201,158,53,1516,3.68
Saarland,94,48,34,13,348,3.70
Schleswig-Holstein,290,144,111,36,1050,3.62
Ostdeutschland einschließlich Berlin,1601,857,573,171,5584,3.49
Berlin,381,196,140,45,1352,3.55
Brandenburg,265,142,99,23,923,3.49
Mecklenburg-Vorpommern,152,83,54,16,525,3.44
Sachsen,401,211,146,44,1393,3.47
Sachsen-Anhalt,199,112,65,22,689,3.46
Thüringen,203,113,69,21,702,3.46
